,Sample.Name,File.Name,C.CT.mean,D.CT.mean,Ssid.CT.mean,C.CT.sd,D.CT.sd,Ssid.CT.sd,C.reps,D.reps,Ssid.reps,C.Ssid,D.Ssid,Sample.Plate,TotalSH,logC.SH,logD.SH,logSH,Treatment,Replicate,Colony,Core,Date,Sample,D.Prp,C.Prp,Community,RanA
241.00,Sample 1,Plate22.csv,27.66,29.14,14.65,0.27,0.24,0.19,2.00,2.00,2.00,0.00,0.00,Sample 1_Plate22.csv,0.00,-3.75,-3.31,-3.18,NP,R2,20.00,20-36,2017-12-14,20-36_2017-12-14,0.73,0.27,D,2.00
250.00,Sample 2,Plate22.csv,26.99,29.70,14.81,0.17,0.08,0.00,2.00,2.00,2.00,0.00,0.00,Sample 2_Plate22.csv,0.00,-3.50,-3.43,-3.16,NP,R2,20.00,20-36,2018-02-01,20-36_2018-02-01,0.54,0.46,D,2.00
254.00,Sample 3,Plate22.csv,25.30,30.86,17.10,0.47,0.24,0.29,2.00,2.00,2.00,0.01,0.00,Sample 3_Plate22.csv,0.01,-2.30,-3.09,-2.24,NP,R2,20.00,20-36,2018-02-05,20-36_2018-02-05,0.14,0.86,C,2.00
256.00,Sample 5,Plate22.csv,NA,29.46,16.37,NA,0.08,0.05,0.00,2.00,2.00,0.00,0.00,Sample 5_Plate22.csv,0.00,NA,-2.89,-2.89,N,R2,22.00,22-36,2018-02-01,22-36_2018-02-01,1.00,0.00,D,2.00
257.00,Sample 6,Plate22.csv,32.87,32.79,18.54,NA,0.59,0.09,1.00,2.00,2.00,0.00,0.00,Sample 6_Plate22.csv,0.00,NA,-3.24,-3.24,N,R2,22.00,22-36,2018-02-05,22-36_2018-02-05,1.00,0.00,D,2.00
258.00,Sample 7,Plate22.csv,NA,27.66,16.61,NA,0.61,0.14,0.00,2.00,2.00,0.00,0.01,Sample 7_Plate22.csv,0.01,NA,-2.27,-2.27,Control,R1,23.00,23-54,2017-12-14,23-54_2017-12-14,1.00,0.00,D,2.00
259.00,Sample 8,Plate22.csv,NA,28.09,15.51,NA,0.56,0.06,0.00,2.00,2.00,0.00,0.00,Sample 8_Plate22.csv,0.00,NA,-2.73,-2.73,Control,R1,23.00,23-54,2018-02-01,23-54_2018-02-01,1.00,0.00,D,2.00
260.00,Sample 9,Plate22.csv,32.04,29.68,17.69,0.70,0.58,0.15,2.00,2.00,2.00,0.00,0.00,Sample 9_Plate22.csv,0.00,-4.15,-2.56,-2.54,Control,R1,23.00,23-54,2018-02-05,23-54_2018-02-05,0.98,0.02,D,2.00
242.00,Sample 10,Plate22.csv,22.67,32.90,14.56,0.03,0.79,0.06,2.00,2.00,2.00,0.01,0.00,Sample 10_Plate22.csv,0.01,-2.27,-4.47,-2.27,N,R2,24.00,24-17,2017-12-14,24-17_2017-12-14,0.01,0.99,C,2.00
243.00,Sample 11,Plate22.csv,24.46,NA,16.13,0.10,NA,0.36,2.00,0.00,2.00,0.00,0.00,Sample 11_Plate22.csv,0.00,-2.34,NA,-2.34,N,R2,24.00,24-17,2018-02-01,24-17_2018-02-01,0.00,1.00,C,2.00
245.00,Sample 13,Plate22.csv,30.98,28.16,14.67,0.98,0.31,0.16,2.00,2.00,2.00,0.00,0.00,Sample 13_Plate22.csv,0.00,-4.74,-3.01,-3.00,Control,R2,27.00,27-57,2017-12-14,27-57_2017-12-14,0.98,0.02,D,2.00
246.00,Sample 15,Plate22.csv,30.29,29.56,15.87,0.33,0.23,0.18,2.00,2.00,2.00,0.00,0.00,Sample 15_Plate22.csv,0.00,-4.17,-3.07,-3.04,Control,R2,27.00,27-57,2018-02-23,27-57_2018-02-23,0.93,0.07,D,2.00
247.00,Sample 16,Plate22.csv,27.86,28.20,15.80,0.83,0.71,0.06,2.00,2.00,2.00,0.00,0.00,Sample 16_Plate22.csv,0.00,-3.46,-2.68,-2.61,N,R1,28.00,28-3,2017-12-14,28-3_2017-12-14,0.86,0.14,D,2.00
248.00,Sample 17,Plate22.csv,28.78,29.00,18.24,0.09,0.44,0.09,2.00,2.00,2.00,0.00,0.01,Sample 17_Plate22.csv,0.01,-3.00,-2.19,-2.12,N,R1,28.00,28-3,2018-02-01,28-3_2018-02-01,0.87,0.13,D,2.00
249.00,Sample 18,Plate22.csv,26.12,29.24,15.20,0.61,0.65,0.22,2.00,2.00,2.00,0.00,0.00,Sample 18_Plate22.csv,0.00,-3.12,-3.17,-2.84,N,R1,28.00,28-3,2018-02-23,28-3_2018-02-23,0.47,0.53,C,2.00
251.00,Sample 20,Plate22.csv,22.06,NA,13.50,0.56,NA,0.13,2.00,0.00,2.00,0.00,0.00,Sample 20_Plate22.csv,0.00,-2.41,NA,-2.41,NP,R2,30.00,30-22,2017-12-14,30-22_2017-12-14,0.00,1.00,C,2.00
252.00,Sample 21,Plate22.csv,24.89,NA,16.84,0.91,NA,0.14,2.00,0.00,2.00,0.01,0.00,Sample 21_Plate22.csv,0.01,-2.26,NA,-2.26,NP,R2,30.00,30-22,2018-02-01,30-22_2018-02-01,0.00,1.00,C,2.00
