Time_Point,Date,Phase
T0,07/26/17,Baseline
T1,08/30/17,Baseline
T2,10/10/17,Baseline
T3,10/18/17,Baseline
T3,10/19/17,Baseline
T4,11/06/17,Baseline
T4,11/08/17,Baseline
T5,11/15/17,Baseline
T5,11/16/17,Baseline
T6,11/23/17,Nutrients
T7,11/29/17,Nutrients
T7,11/30/17,Nutrients
T8,12/06/17,Nutrients
T9,12/13/17,Nutrients
T9,12/14/17,Nutrients
T9,12/15/17,Nutrients
T10,01/03/18,Nutrients
T11,01/16/18,Nutrients
T11,01/19/18,Nutrients
T12,01/26/18,Nutrients
T12,01/25/18,Nutrients
T13,01/29/18,Nutrients
T13,01/30/18,Nutrients
T14,02/05/18,Nutrients
T15,02/07/18,Ramping
T16,02/12/18,Ramping
T17,02/14/18,Heat
T17,02/15/18,Heat
T18,02/19/18,Heat
T19,02/22/18,Heat
T19,02/23/18,Heat
T20,02/26/18,Heat
T21,03/01/18,Heat
T21,03/02/18,Heat
T21,03/03/18,Heat
T22,03/05/18,Heat
T22,03/06/18,Heat
T22,03/07/18,Heat
T23,03/08/18,Heat
T24,03/25/18,Recovery
T24,03/27/18,Recovery
T25,04/20/18,Recovery
