,Sample.Name,File.Name,B.CT.mean,C.CT.mean,D.CT.mean,Ofav.CT.mean,B.CT.sd,C.CT.sd,D.CT.sd,Ofav.CT.sd,B.reps,C.reps,D.reps,Ofav.reps,B.Ofav,C.Ofav,D.Ofav,Sample.Plate,TotalSH,logB.SH,logC.SH,logD.SH,logSH,Treatment,Replicate,Colony,Core,Date,Sample,D.Prp,C.Prp,B.Prp,Community,RanA
241,Sample 10,Plate4.csv,35.6758937836,30.9525798798,27.7347383499,21.7714176178,0.1315979711,1.3772565082,0.024952283,0.0672488372,2,2,2,2,0.0001575384,0.000180933,0.0129059884,Sample 10_Plate4.csv,0.0132444598,-3.802613462,-3.7424821341,-1.889208731,-1.8779657495,N,R1,31,31-25,2017-12-15,31-25_2017-12-15,0.9744442977,0.0136610354,0.011894667,D,2
242,Sample 11,Plate4.csv,34.7003307343,31.6083969116,28.9142637253,20.176612854,0.4287379736,0.2421076823,0.2355813271,0.1476987415,2,2,2,2,0.0001025596,3.80200948997825E-05,0.0018864039,Sample 11_Plate4.csv,0.0020269835,-3.9890237927,-4.4199868035,-2.7243653208,-2.6931497778,N,R1,31,31-30,2017-12-15,31-30_2017-12-15,0.9306458756,0.0187569825,0.0505971419,D,2
243,Sample 12,Plate4.csv,35.1582431793,35.6964324951,32.0574102402,20.8022737503,0.0814263627,NA,0.1341159924,0.2140560886,2,1,2,2,0.0001152056,0,0.0003294549,Sample 12_Plate4.csv,0.0004446605,-3.9385264771,NA,-3.4822040056,-3.3519714483,N,R1,31,31-43,2017-12-15,31-43_2017-12-15,0.7409133885,0,0.2590866115,D,2
248,Sample 4,Plate4.csv,36.3940048218,NA,30.9138183594,21.3776836395,0.4995204024,NA,0.6197164709,0.0613819958,2,0,2,2,7.28933378584316E-05,0,0.0010845937,Sample 4_Plate4.csv,0.0011574871,-4.1373121625,NA,-2.9647329102,-2.9364838522,Control,R1,31,31-34,2017-12-15,31-34_2017-12-15,0.9370244905,0,0.0629755095,D,2
249,Sample 5,Plate4.csv,36.9575805664,NA,NA,22.2328968048,0.4792899152,NA,NA,0.3448947421,2,0,0,2,8.92235397524587E-05,0,0,Sample 5_Plate4.csv,8.92235397524587E-05,-4.0495205511,NA,NA,-4.0495205511,Control,R1,31,31-41,2017-12-15,31-41_2017-12-15,0,0,1,B,2
250,Sample 6,Plate4.csv,38.2503147125,NA,35.4944419861,22.1258592606,0.5395039375,NA,NA,0.102243534,2,0,1,2,3.3814750166248E-05,0,0,Sample 6_Plate4.csv,3.3814750166248E-05,-4.4708938169,NA,NA,-4.4708938169,Control,R1,31,31-45,2017-12-15,31-45_2017-12-15,0,0,1,B,2
258,Sample 14,Plate5.csv,NA,NA,36.4962215424,23.4262113571,NA,NA,1.2776847472,0.1362253578,0,0,2,2,0,0,9.36406832228041E-05,Sample 14_Plate5.csv,9.36406832228041E-05,NA,NA,-4.0285354263,-4.0285354263,N,R2,31,31-3,2017-12-15,31-3_2017-12-15,1,0,0,D,2
259,Sample 3,Plate5.csv,37.1519203186,NA,NA,22.6162691117,0.5363290998,NA,NA,0.1980308452,2,0,0,2,0.0001017147,0,0,Sample 3_Plate5.csv,0.0001017147,-3.9926160819,NA,NA,-3.9926160819,NP,R1,31,31-39,2017-12-15,31-39_2017-12-15,0,0,1,B,2
260,Sample 4,Plate5.csv,38.7247123718,NA,35.6604614258,22.9989233017,NA,NA,1.2793868055,0.4570485174,1,0,2,2,0,0,0.0001242873,Sample 4_Plate5.csv,0.0001242873,NA,NA,-3.9055730834,-3.9055730834,NP,R1,31,31-40,2017-12-15,31-40_2017-12-15,1,0,0,D,2
264,Sample 8,Plate5.csv,NA,NA,34.6671962738,22.6396312714,NA,NA,1.4629960107,0.3178344422,0,0,2,2,0,0,0.0001928732,Sample 8_Plate5.csv,0.0001928732,NA,NA,-3.7147281574,-3.7147281574,Control,R2,31,31-13,2017-12-15,31-13_2017-12-15,1,0,0,D,2
