Fra,Gen,Treatment,Replicate,Time,Period,Initial Date,Final Date,dBW/g
220,G-O,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.1577
226,G-O,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.2225
149,Orange,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,5.0585
157,Orange,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.3435
248,Orange,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.2498
162,R-O,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.4608
169,R-O,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.8689
261,R-O,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.9952
267,R-O,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.2392
273,R-O,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.8779
105,R-Y,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.5951
204,R-Y,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.9648
143,Yellow,Control,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.1374
146,F,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.2082
177,Green,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.1804
183,Green,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.2092
190,Green,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.6696
282,Green,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.8877
288,Green,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.6621
117,G-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.7343
123,G-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.8639
130,G-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.1179
221,G-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.4983
227,G-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.2634
150,Orange,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.5738
158,Orange,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.8964
249,Orange,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.7529
164,R-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.5721
170,R-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.7878
262,R-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.5357
268,R-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.8057
274,R-O,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.0897
106,R-Y,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.1437
206,R-Y,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.7807
144,Yellow,N,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.3479
138,F,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.0559
191,F,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,-0.187
240,F,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.3546
178,Green,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.1857
184,Green,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.1509
276,Green,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.3796
283,Green,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.9618
289,Green,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.0588
118,G-O,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.9596
124,G-O,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.413
216,G-O,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.2813
222,G-O,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.1628
228,G-O,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.0385
151,Orange,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.0855
159,Orange,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.6447
250,Orange,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.678
165,R-O,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.1231
171,R-O,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.701
263,R-O,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.8068
269,R-O,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.6079
101,R-Y,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.5783
107,R-Y,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.1535
300,R-Y,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.3392
145,Yellow,NP,R1,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.8468
139,F,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,0.9708
192,F,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,0.2489
241,F,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,0.7605
179,Green,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.198
186,Green,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.8679
277,Green,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.1814
284,Green,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.3566
290,Green,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.2611
119,G-O,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.5619
125,G-O,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.7345
223,G-O,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.8408
152,Orange,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,4.8594
160,Orange,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,5.1432
166,R-O,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.6481
173,R-O,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.694
264,R-O,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.3968
270,R-O,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.7353
102,R-Y,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.8931
108,R-Y,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.9722
231,Yellow,Control,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.7165
236,F,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.2098
242,F,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,0.9609
180,Green,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.305
187,Green,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.8136
278,Green,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.0281
285,Green,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.5952
120,G-O,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.6998
126,G-O,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.9074
218,G-O,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.7123
224,G-O,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.9655
230,G-O,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.4407
154,Orange,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.7839
246,Orange,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.2037
299,Orange,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.9249
167,R-O,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.2091
174,R-O,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.5362
265,R-O,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.5992
271,R-O,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.992
103,R-Y,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.873
109,R-Y,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.2422
232,Yellow,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.4779
234,Yellow,N,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.7907
140,F,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.8588
237,F,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,0.5474
181,Green,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.9654
188,Green,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.9549
280,Green,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.9902
286,Green,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.2353
121,G-O,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.3742
128,G-O,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.3883
219,G-O,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.2431
155,Orange,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,6.958
247,Orange,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.8637
168,R-O,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.5994
175,R-O,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.2963
266,R-O,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.0872
272,R-O,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,1.4234
104,R-Y,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,3.1278
110,R-Y,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.5697
233,Yellow,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.6383
235,Yellow,NP,R2,3.Nov-Dec,Nov-Dec,2017-11-16,2017-12-13,2.6522
137,F,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.2804
291,F,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.9808
176,Green,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.1874
182,Green,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,5.1479
189,Green,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.4291
281,Green,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.2654
287,Green,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.9844
116,G-O,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,5.0677
122,G-O,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.7463
129,G-O,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.828
220,G-O,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.59
226,G-O,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.1703
149,Orange,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,6.3369
157,Orange,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.6615
248,Orange,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.9471
162,R-O,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.8911
169,R-O,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.0243
267,R-O,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.2964
273,R-O,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.9348
105,R-Y,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.8675
204,R-Y,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.1673
143,Yellow,Control,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.143
146,F,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.4006
177,Green,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.0778
183,Green,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.0514
190,Green,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.6663
282,Green,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.3603
288,Green,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.5583
117,G-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.6274
123,G-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.9826
130,G-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.0605
221,G-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.7088
227,G-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.379
150,Orange,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.8494
158,Orange,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.0229
249,Orange,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.3748
164,R-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.8565
170,R-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.3434
262,R-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.071
268,R-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.2617
274,R-O,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.7297
106,R-Y,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.742
206,R-Y,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.234
144,Yellow,N,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.3183
138,F,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.2176
191,F,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.4859
240,F,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.3928
178,Green,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.9529
184,Green,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.8821
276,Green,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.4893
283,Green,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.1246
289,Green,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.7564
118,G-O,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.8507
124,G-O,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.5814
216,G-O,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.3918
222,G-O,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.3815
228,G-O,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.4959
151,Orange,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.1949
159,Orange,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7797
250,Orange,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.9037
165,R-O,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.2252
171,R-O,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7186
263,R-O,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.3234
269,R-O,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.5072
101,R-Y,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.0479
107,R-Y,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.5832
145,Yellow,NP,R1,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.9164
139,F,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.8654
192,F,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.3655
241,F,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.0287
179,Green,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.2514
186,Green,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.1435
277,Green,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.1997
284,Green,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.7597
290,Green,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.1442
119,G-O,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.5649
125,G-O,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.8965
217,G-O,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.2416
223,G-O,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,4.2022
152,Orange,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.3492
160,Orange,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.7705
166,R-O,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.634
173,R-O,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.8165
264,R-O,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.5269
270,R-O,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.6203
102,R-Y,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.6199
108,R-Y,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.0258
231,Yellow,Control,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.9987
236,F,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.2141
242,F,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,-0.1566
180,Green,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.4476
187,Green,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.7377
278,Green,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.1238
285,Green,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.8689
120,G-O,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.0124
126,G-O,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.4538
218,G-O,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.1018
224,G-O,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.2532
230,G-O,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.0846
154,Orange,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7769
246,Orange,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.2731
299,Orange,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.6361
167,R-O,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.74
174,R-O,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7721
265,R-O,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7292
271,R-O,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7843
103,R-Y,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.2131
109,R-Y,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.2659
232,Yellow,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.9046
234,Yellow,N,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.0155
140,F,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.2095
181,Green,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.5065
188,Green,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.1807
280,Green,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.5937
286,Green,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.6216
121,G-O,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.6214
128,G-O,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.5161
219,G-O,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.3443
225,G-O,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,2.3658
229,G-O,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.2565
155,Orange,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,3.3735
247,Orange,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.5707
168,R-O,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7847
175,R-O,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7728
266,R-O,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.6189
272,R-O,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7407
104,R-Y,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.8468
110,R-Y,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,0.7487
233,Yellow,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.7367
235,Yellow,NP,R2,4.Dec-Jan,4.Dec-Jan,2017-12-15,2018-01-16,1.1078
137,F,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,0.69748904
291,F,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.226310841
176,Green,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.315074264
182,Green,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,5.071389697
189,Green,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,4.588123219
281,Green,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,4.125874126
287,Green,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,3.820502312
116,G-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,4.733792241
122,G-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,4.014411646
129,G-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,3.654870884
220,G-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,4.656821688
226,G-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,4.142857143
149,Orange,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,4.990424332
157,Orange,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,4.220274622
248,Orange,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,4.414208755
162,R-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.457800979
169,R-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.205997392
261,R-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.35191616
267,R-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.148941106
273,R-O,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.328336805
105,R-Y,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.489892603
204,R-Y,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.886638366
143,Yellow,Control,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.462328293
146,F,N,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,0.15559774
177,Green,N,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.114642922
183,Green,N,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,1.995123033
190,Green,N,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.040227344
282,Green,N,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.84981165
288,Green,N,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,1.809605743
117,G-O,N,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.056261339
123,G-O,N,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,2.640752905
130,G-O,N,R1,5.Jan-Feb,Jan-Feb,2018-01-16,2018-01-29,1.590623057
