Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate40_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-28 14:54:25 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.4820041656,30.3373908997,0.2045140415,,,,0,0.02,1,3,29,,N,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.2629680634,28.1972770691,0.0929024443,,,,0,0.02,1,3,26,,N,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,19.0448703766,19.1917877197,0.2077738494,,,,0,0.02,1,3,17,,N,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,27.815612793,28.216501236,0.5669418573,,,,0,0.02,1,3,26,,N,Y,N,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,19.3387069702,19.1917877197,0.2077738494,,,,0,0.02,1,3,18,,N,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,28.617389679,28.216501236,0.5669418573,,,,0,0.02,1,3,27,,N,Y,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,Y
A7,,,,,,,,,,,,,,,,,,N,N,N,N,N
A8,,,,,,,,,,,,,,,,,,N,N,N,N,N
A9,,,,,,,,,,,,,,,,,,N,N,N,N,N
A10,,,,,,,,,,,,,,,,,,N,N,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,19.9135837555,20.0991439819,0.2624217868,,,,0,0.02,1,3,17,,N,N,N,N,N
A12,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
A12,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,21.0876579285,21.0962543488,0.0121571738,,,,0,0.02,1,3,18,,N,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,29.1720542908,29.3657798767,0.2739706933,,,,0,0.02,1,3,27,,N,N,Y,N,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,21.104850769,21.0962543488,0.0121571738,,,,0,0.02,1,3,20,,N,N,N,N,N
