Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate9.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-05 17:23:30 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,Y,N,Y
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,Y,N,Y
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,20.7844791412,20.8071937561,0.0321219675,,,,0,0.2,1,3,16,,N,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,29.5145511627,29.6571521759,0.2016682923,,,,0,0.2,1,3,24,,N,N,N,Y
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,20.8299064636,20.8071937561,0.0321219675,,,,0,0.2,1,3,16,,N,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,29,,N,N,N,N
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,29.7997531891,29.6571521759,0.2016682923,,,,0,0.2,1,3,24,,N,N,N,N
A9,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
A10,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
A11,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,Y,N,Y
A11,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,Y,N,Y
A12,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,Y,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,31.7737197876,31.907125473,0.1886641234,,,,0,0.2,1,3,26,,N,Y,N,Y
B3,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
B4,Sample 1,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.2,1,3,38,,N,N,N,Y
B5,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,Y,N,Y
B5,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,32.0405311584,31.907125473,0.1886641234,,,,0,0.2,1,3,27,,N,Y,N,Y
B6,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,20.7489700317,20.6476078033,0.1433478445,,,,0,0.2,1,3,16,,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,29.8240966797,29.6965255737,0.1804114431,,,,0,0.2,1,3,24,,N,N,N,Y
B9,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,35,,N,N,N,N
B10,Sample 8,Ofav,UNKNOWN,SYBR,None,20.546245575,20.6476078033,0.1433478445,,,,0,0.2,1,3,16,,N,N,N,N
B11,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,29,,N,N,N,N
B11,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,29.5689563751,29.6965255737,0.1804114431,,,,0,0.2,1,3,24,,N,N,N,N
B12,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,22.4597949982,22.0609321594,0.5640785694,,,,0,0.2,1,3,17,,Y,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,29.0366706848,29.1575126648,0.1708950251,,,,0,0.2,1,3,24,,N,N,N,Y
C3,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
C4,Sample 2,Ofav,UNKNOWN,SYBR,None,21.6620674133,22.0609321594,0.5640785694,,,,0,0.2,1,3,17,,Y,N,N,N
C5,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,Y,N,Y
C5,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,29.2783527374,29.1575126648,0.1708950251,,,,0,0.2,1,3,24,,N,Y,N,Y
C6,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.2,1,3,39,,N,N,N,Y
