Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Rerun3.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-11-05 14:39:21 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,7,,N,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,14.6623334885,14.7526426315,0.1277164221,,,,0,0.02,1,3,12,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,9.9505176544,9.9750509262,0.0346952863,,,,0,0.02,1,3,7,,N,N,N,N
A3,Sample 7,Ofav,UNKNOWN,SYBR,None,20.7515983582,20.7993526459,0.0675347596,,,,0,0.02,1,3,19,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,34.8012237549,34.8012237549,,,,,0,0.02,1,3,34,,N,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.331489563,26.3857650757,0.0767571628,,,,0,0.02,1,3,24,,N,N,N,N
A5,Sample 7,Ofav,UNKNOWN,SYBR,None,20.8471069336,20.7993526459,0.0675347596,,,,0,0.02,1,3,19,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.8012237549,,,,,0,0.02,1,3,39,,N,Y,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.4400405884,26.3857650757,0.0767571628,,,,0,0.02,1,3,24,,N,Y,N,Y
A7,Sample 15,Ofav,UNKNOWN,SYBR,None,20.125202179,20.1585159302,0.0471141078,,,,0,0.02,1,3,18,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.3308563232,,,,,0,0.02,1,3,39,,N,Y,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,25.4957809448,25.370059967,0.1777949631,,,,0,0.02,1,3,24,,N,Y,N,Y
A9,Sample 15,Ofav,UNKNOWN,SYBR,None,20.1918315887,20.1585159302,0.0471141078,,,,0,0.02,1,3,18,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,32.3308563232,32.3308563232,,,,,0,0.02,1,3,27,,N,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,25.2443408966,25.370059967,0.1777949631,,,,0,0.02,1,3,23,,N,N,N,N
A11,+,Ofav,UNKNOWN,SYBR,None,8.8873119354,7.7571706772,1.5982611179,,,,0,0.02,1,3,6,,Y,N,N,N
A12,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
A12,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,19.8006134033,19.8464050293,0.0647577867,,,,0,0.02,1,3,18,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.5913772583,,,,,0,0.02,1,3,39,,N,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.3371200562,26.25598526,0.1147419289,,,,0,0.02,1,3,24,,N,N,N,Y
B3,Sample 1,Ofav,UNKNOWN,SYBR,None,19.8921947479,19.8464050293,0.0647577867,,,,0,0.02,1,3,18,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,36.5913772583,36.5913772583,,,,,0,0.02,1,3,29,,N,N,N,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.1748504639,26.25598526,0.1147419289,,,,0,0.02,1,3,24,,N,N,N,N
B5,Sample 8,Ofav,UNKNOWN,SYBR,None,21.1475524902,21.1760749817,0.0403355472,,,,0,0.02,1,3,19,,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,25.7001628876,25.7588577271,0.0830083862,,,,0,0.02,1,3,24,,N,N,N,Y
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,21.2045955658,21.1760749817,0.0403355472,,,,0,0.02,1,3,19,,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,25.8175544739,25.7588577271,0.0830083862,,,,0,0.02,1,3,24,,N,Y,N,Y
B9,Sample 16,Ofav,UNKNOWN,SYBR,None,22.0119934082,22.0136013031,0.0022739067,,,,0,0.02,1,3,20,,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.9835548401,,,,,0,0.02,1,3,39,,N,N,N,Y
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,27.5668964386,27.6566886902,0.1269840747,,,,0,0.02,1,3,26,,N,N,N,Y
B11,Sample 16,Ofav,UNKNOWN,SYBR,None,22.015209198,22.0136013031,0.0022739067,,,,0,0.02,1,3,20,,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,34.9835548401,34.9835548401,,,,,0,0.02,1,3,29,,N,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,27.7464790344,27.6566886902,0.1269840747,,,,0,0.02,1,3,26,,N,N,N,N
