Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate22.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-10-24 13:58:24 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A3,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A4,Sample 7,Ofav,UNKNOWN,SYBR,None,22.3882732391,22.4757232666,0.1236743629,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
A5,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A5,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.7257461548,31.0307712555,0.4313706458,,,,0,0.02,1,3,29,,N,N,N,N,N,N,Y
A6,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,28.7530479431,28.7603645325,0.0103485687,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,22.5631752014,22.4757232666,0.1236743629,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,31.3357963562,31.0307712555,0.4313706458,,,,0,0.02,1,3,29,,N,N,N,N,N,N,Y
A9,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,28.7676830292,28.7603645325,0.0103485687,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
A10,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A11,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A11,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
A12,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,21.7386684418,21.4952316284,0.34427163,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,29.8149032593,30.3620567322,0.7737918496,,,,0,0.02,1,3,28,,N,Y,N,N,N,N,Y
B3,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,27.867816925,28.081987381,0.3028827608,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N
B4,Sample 1,Ofav,UNKNOWN,SYBR,None,21.2517948151,21.4952316284,0.34427163,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
B5,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,N,N,Y
B5,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,30.9092102051,30.3620567322,0.7737918496,,,,0,0.02,1,3,29,,N,Y,N,N,N,N,Y
B6,Sample 1,B,UNKNOWN,FAM,NFQ-MGB,28.2961578369,28.081987381,0.3028827608,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,22.2533721924,22.2665214539,0.0185958631,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
B9,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,28.9888019562,28.9489536285,0.0563540459,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
B10,Sample 8,Ofav,UNKNOWN,SYBR,None,22.2796707153,22.2665214539,0.0185958631,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
B11,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
B11,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
B12,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,28.9091053009,28.9489536285,0.0563540459,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,22.3441543579,22.1677474976,0.2494769692,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
C3,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,28.3852825165,28.4422721863,0.0805955604,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
C4,Sample 2,Ofav,UNKNOWN,SYBR,None,21.9913406372,22.1677474976,0.2494769692,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
C5,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
C5,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
C6,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,28.4992618561,28.4422721863,0.0805955604,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
C7,Sample 9,Ofav,UNKNOWN,SYBR,None,22.5123996735,22.3323307037,0.254655987,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,34.1747207642,34.1016159058,0.1033858806,,,,0,0.02,1,3,32,,N,N,N,N,N,N,Y
C9,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,28.9391460419,29.0566825867,0.1662204266,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
C10,Sample 9,Ofav,UNKNOWN,SYBR,None,22.152261734,22.3323307037,0.254655987,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
C11,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,N,Y
C11,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,34.0285110474,34.1016159058,0.1033858806,,,,0,0.02,1,3,32,,N,N,N,N,N,N,Y
C12,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,29.1742172241,29.0566825867,0.1662204266,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
D1,Sample 3,Ofav,UNKNOWN,SYBR,None,22.5447940826,22.3909759521,0.2175330371,,,,0,0.02,1,3,21,,N,N,N,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,N,Y
