Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate13.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-07 15:48:05 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N,N
A2,,,,,,,,,,,,,,,,,,N,N,N,N
A3,NTC,Ofav,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A4,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N
A4,NTC,D,NTC,FAM,NFQ-MGB,28.588476181,,,,,,0,0.02,1,3,26,,Y,N,N,N
A5,NTC,Ofav,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A6,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N
A6,NTC,D,NTC,FAM,NFQ-MGB,28.909828186,,,,,,0,0.02,1,3,27,,Y,N,N,N
A7,-,Ofav,UNKNOWN,SYBR,None,31.9385204315,30.123916626,2.5662386417,,,,0,0.02,1,3,31,,N,Y,N,N
A8,-,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.1467590332,,,,,0,0.02,1,3,39,,N,N,N,Y
A8,-,D,UNKNOWN,FAM,NFQ-MGB,28.3769321442,28.5051193237,0.1812853962,,,,0,0.02,1,3,26,,N,N,N,Y
A9,-,Ofav,UNKNOWN,SYBR,None,28.3093109131,30.123916626,2.5662386417,,,,0,0.02,1,3,27,,N,Y,N,N
